row,project_uid,primary_investigator_uid,creation_date,assigned_to
1,1,1,4/20/2011,NULL
2,2,2,4/20/2011,NULL
3,3,3,4/20/2011,NULL
4,4,4,4/21/2011,NULL
5,5,4,4/21/2011,NULL
6,6,4,4/21/2011,NULL
7,7,5,4/25/2011,NULL
8,8,6,5/2/2011,NULL
9,9,7,5/4/2011,NULL
10,10,8,5/4/2011,NULL
11,11,8,5/4/2011,NULL
12,12,9,5/10/2011,NULL
13,13,10,5/11/2011,NULL
14,14,11,5/11/2011,NULL
15,15,12,5/12/2011,NULL
16,16,13,5/12/2011,NULL
17,17,14,5/12/2011,NULL
18,18,7,5/13/2011,NULL
19,19,15,5/17/2011,NULL
20,20,16,5/17/2011,NULL
21,21,17,5/23/2011,NULL
22,22,18,6/2/2011,NULL
23,23,19,6/2/2011,NULL
24,24,9,6/2/2011,NULL
25,25,20,6/8/2011,NULL
26,26,20,6/8/2011,NULL
27,27,13,6/10/2011,NULL
28,28,16,6/10/2011,NULL
29,29,21,6/20/2011,NULL
30,30,22,6/23/2011,NULL
31,31,23,6/23/2011,NULL
32,32,24,6/24/2011,NULL
33,33,3,6/24/2011,NULL
34,34,25,6/29/2011,NULL
35,35,25,7/6/2011,NULL
36,36,7,7/6/2011,NULL
37,37,26,7/7/2011,NULL
38,38,27,7/18/2011,NULL
39,39,14,7/21/2011,NULL
40,40,28,7/22/2011,NULL
41,41,5,8/5/2011,NULL
42,42,12,8/5/2011,NULL
43,43,12,8/12/2011,NULL
44,44,5,8/16/2011,NULL
45,45,29,8/18/2011,NULL
46,46,4,8/22/2011,NULL
47,47,30,8/24/2011,NULL
48,48,31,8/25/2011,NULL
49,49,32,9/6/2011,NULL
50,50,16,9/6/2011,NULL
51,51,33,9/23/2011,NULL
52,52,16,9/23/2011,NULL
53,53,5,9/28/2011,NULL
54,54,25,10/4/2011,NULL
55,55,34,10/6/2011,NULL
56,56,35,10/6/2011,NULL
57,57,13,10/12/2011,NULL
58,58,36,10/12/2011,NULL
59,59,37,10/18/2011,NULL
60,60,37,10/18/2011,NULL
61,61,38,10/18/2011,NULL
62,62,39,10/26/2011,NULL
63,63,40,10/31/2011,NULL
64,64,41,11/3/2011,NULL
65,65,4,11/15/2011,NULL
66,66,37,11/18/2011,NULL
67,67,42,12/9/2011,NULL
68,68,43,12/13/2011,NULL
69,69,36,12/13/2011,NULL
70,70,35,12/13/2011,NULL
71,71,44,12/13/2011,NULL
72,72,19,12/19/2011,NULL
73,73,45,12/20/2011,NULL
74,74,16,12/22/2011,NULL
75,75,11,1/5/2012,NULL
76,76,45,1/23/2012,NULL
77,77,45,1/23/2012,NULL
78,78,46,1/24/2012,NULL
79,79,47,1/24/2012,NULL
80,80,10,2/9/2012,NULL
81,81,35,2/9/2012,NULL
82,82,9,2/9/2012,NULL
83,83,48,2/10/2012,NULL
84,84,49,2/17/2012,NULL
85,85,17,2/23/2012,NULL
86,86,50,2/27/2012,NULL
87,87,4,2/27/2012,NULL
88,88,51,3/6/2012,NULL
89,89,52,3/20/2012,NULL
90,90,53,3/20/2012,NULL
91,91,48,3/21/2012,NULL
92,92,48,3/26/2012,NULL
93,93,48,3/27/2012,NULL
94,94,4,3/30/2012,NULL
95,95,17,4/2/2012,NULL
96,96,45,4/3/2012,NULL
97,97,15,4/4/2012,NULL
98,98,54,4/9/2012,NULL
99,99,4,4/9/2012,NULL
100,100,29,4/9/2012,NULL
101,101,17,4/9/2012,NULL
102,102,47,4/9/2012,NULL
103,103,16,4/9/2012,NULL
104,104,50,4/12/2012,NULL
105,105,55,4/12/2012,NULL
106,106,56,4/17/2012,NULL
107,107,4,4/17/2012,NULL
108,108,45,4/17/2012,NULL
109,109,45,4/17/2012,NULL
110,110,45,4/17/2012,NULL
111,111,39,4/17/2012,NULL
112,112,50,4/20/2012,NULL
113,113,57,4/20/2012,NULL
114,114,58,4/20/2012,NULL
115,115,14,5/9/2012,NULL
116,116,4,5/10/2012,NULL
117,117,59,5/15/2012,NULL
118,118,25,5/15/2012,NULL
119,119,43,5/15/2012,NULL
120,120,57,5/21/2012,NULL
121,121,60,5/22/2012,NULL
122,122,7,5/23/2012,NULL
123,123,50,5/24/2012,NULL
124,124,61,5/29/2012,NULL
125,126,16,5/31/2012,NULL
126,127,43,5/31/2012,NULL
127,128,4,5/31/2012,NULL
128,129,62,5/31/2012,NULL
129,130,25,5/31/2012,NULL
130,131,63,5/31/2012,NULL
131,133,49,6/1/2012,NULL
132,134,12,6/1/2012,NULL
133,135,9,6/1/2012,NULL
134,136,7,6/5/2012,NULL
135,137,25,6/5/2012,NULL
136,139,50,6/5/2012,NULL
137,140,65,6/6/2012,NULL
138,141,45,6/6/2012,NULL
139,142,66,6/6/2012,NULL
140,144,67,6/7/2012,NULL
141,145,25,6/8/2012,NULL
142,146,68,6/8/2012,NULL
143,147,5,6/8/2012,NULL
144,148,50,6/19/2012,NULL
145,149,50,6/19/2012,NULL
146,150,12,6/19/2012,NULL
147,151,50,6/20/2012,NULL
148,152,47,6/21/2012,NULL
149,153,15,6/20/2012,NULL
150,154,69,6/25/2012,NULL
151,155,4,6/26/2012,NULL
152,156,16,6/26/2012,NULL
153,157,43,6/27/2012,NULL
154,158,70,7/2/2012,NULL
155,159,16,7/2/2012,NULL
156,160,16,7/2/2012,NULL
157,161,16,7/2/2012,NULL
158,163,16,7/2/2012,NULL
159,164,16,7/3/2012,NULL
160,165,50,7/11/2012,NULL
161,166,48,7/17/2012,NULL
162,167,15,7/17/2012,NULL
163,168,4,7/17/2012,NULL
164,169,49,7/18/2012,NULL
165,170,37,7/26/2012,NULL
166,171,50,7/26/2012,NULL
167,172,65,7/26/2012,NULL
168,173,35,7/31/2012,NULL
169,174,15,7/31/2012,core
170,175,47,8/2/2012,NULL
171,176,43,8/7/2012,NULL
172,177,54,8/9/2012,NULL
173,178,55,8/9/2012,NULL
174,179,36,8/9/2012,NULL
175,180,71,8/9/2012,NULL
176,181,15,8/13/2012,NULL
177,182,70,8/15/2012,NULL
178,183,72,8/16/2012,NULL
179,184,17,8/28/2012,NULL
180,185,7,8/28/2012,NULL
181,186,49,8/29/2012,NULL
182,187,73,8/29/2012,NULL
183,188,68,8/29/2012,NULL
184,189,74,9/4/2012,NULL
185,190,43,9/4/2012,NULL
186,191,75,9/5/2012,core
187,192,76,9/5/2012,NULL
188,193,50,9/5/2012,NULL
189,194,16,9/6/2012,NULL
190,195,25,9/6/2012,NULL
191,196,47,9/7/2012,NULL
192,197,9,9/10/2012,NULL
193,198,9,9/10/2012,NULL
194,199,77,9/7/2012,NULL
195,200,66,9/12/2012,NULL
196,201,37,9/12/2012,NULL
197,202,14,9/12/2012,NULL
198,203,16,9/13/2012,NULL
199,204,73,9/14/2012,NULL
200,205,45,9/17/2012,NULL
201,206,16,9/17/2012,NULL
202,207,45,9/26/2012,NULL
203,208,50,9/27/2012,NULL
204,209,47,10/1/2012,NULL
205,210,79,10/3/2012,NULL
206,211,57,10/5/2012,NULL
207,212,20,10/5/2012,NULL
208,213,80,10/5/2012,NULL
209,214,51,10/15/2012,NULL
210,215,81,10/17/2012,NULL
211,216,82,10/24/2012,NULL
212,217,83,10/25/2012,NULL
213,218,48,10/26/2012,NULL
214,219,84,10/30/2012,NULL
215,220,4,10/31/2012,NULL
216,221,16,11/1/2012,NULL
217,222,16,11/1/2012,core
